date,increase_cnt,decrease_cnt,increase_rate
1992-12-18,22,29,0.7586206896551724
1992-12-20,2,2,1.0
1992-12-21,48,4,12.0
1992-12-22,3,49,0.061224489795918366
1992-12-23,29,23,1.2608695652173914
1992-12-24,49,3,16.333333333333332
1992-12-25,30,22,1.3636363636363635
1992-12-28,14,38,0.3684210526315789
1992-12-29,47,5,9.4
1992-12-30,39,13,3.0
1992-12-31,46,6,7.666666666666667
1993-01-03,15,5,3.0
1993-01-04,38,14,2.7142857142857144
1993-01-05,40,13,3.076923076923077
1993-01-06,27,27,1.0
1993-01-07,52,3,17.333333333333332
1993-01-08,41,14,2.9285714285714284
1993-01-11,53,2,26.5
1993-01-12,24,31,0.7741935483870968
1993-01-13,44,11,4.0
1993-01-14,39,16,2.4375
1993-01-15,23,32,0.71875
1993-01-18,27,29,0.9310344827586207
1993-01-19,19,38,0.5
1993-01-20,33,1,33.0
1993-01-21,34,0,inf
1993-01-22,32,2,16.0
1993-01-27,34,0,inf
1993-01-28,4,30,0.13333333333333333
1993-01-29,33,1,33.0
1993-02-01,57,0,inf
1993-02-02,52,5,10.4
1993-02-03,19,38,0.5
1993-02-04,53,4,13.25
1993-02-05,16,41,0.3902439024390244
1993-02-08,56,1,56.0
1993-02-09,35,24,1.4583333333333333
1993-02-10,14,45,0.3111111111111111
1993-02-11,6,53,0.11320754716981132
1993-02-12,36,23,1.565217391304348
1993-02-15,52,7,7.428571428571429
1993-02-16,9,50,0.18
1993-02-17,34,25,1.36
1993-02-18,32,27,1.1851851851851851
1993-02-19,36,25,1.44
1993-02-22,13,48,0.2708333333333333
1993-02-23,6,55,0.10909090909090909
1993-02-24,0,61,0.0
1993-02-25,61,0,inf
1993-02-26,2,59,0.03389830508474576
1993-03-01,6,55,0.10909090909090909
1993-03-02,38,23,1.6521739130434783
1993-03-03,5,56,0.08928571428571429
1993-03-04,14,50,0.28
1993-03-05,4,60,0.06666666666666667
1993-03-08,63,1,63.0
1993-03-09,7,57,0.12280701754385964
1993-03-10,64,0,inf
1993-03-11,53,11,4.818181818181818
1993-03-12,26,39,0.6666666666666666
1993-03-15,1,64,0.015625
1993-03-16,53,14,3.7857142857142856
1993-03-17,1,66,0.015151515151515152
1993-03-18,24,43,0.5581395348837209
1993-03-19,15,52,0.28846153846153844
1993-03-22,0,67,0.0
1993-03-23,10,57,0.17543859649122806
1993-03-24,5,62,0.08064516129032258
1993-03-25,35,32,1.09375
1993-03-26,51,19,2.6842105263157894
1993-03-29,4,66,0.06060606060606061
1993-03-30,31,39,0.7948717948717948
1993-03-31,19,51,0.37254901960784315
1993-04-01,51,19,2.6842105263157894
1993-04-02,14,56,0.25
1993-04-05,37,33,1.121212121212121
1993-04-06,65,3,21.666666666666668
1993-04-07,69,2,34.5
1993-04-08,67,0,inf
1993-04-09,25,42,0.5952380952380952
1993-04-12,27,44,0.6136363636363636
1993-04-13,51,13,3.923076923076923
1993-04-14,13,54,0.24074074074074073
1993-04-15,30,38,0.7894736842105263
1993-04-16,25,44,0.5681818181818182
1993-04-19,45,27,1.6666666666666667
1993-04-20,46,22,2.090909090909091
1993-04-21,21,49,0.42857142857142855
1993-04-22,48,25,1.92
1993-04-23,16,56,0.2857142857142857
1993-04-26,67,7,9.571428571428571
1993-04-27,37,37,1.0
1993-04-28,51,22,2.3181818181818183
1993-04-29,7,67,0.1044776119402985
1993-04-30,52,20,2.6
1993-05-01,0,23,0.0
1993-05-02,8,15,0.5333333333333333
1993-05-03,40,35,1.1428571428571428
1993-05-04,2,77,0.025974025974025976
1993-05-05,37,42,0.8809523809523809
1993-05-06,0,79,0.0
1993-05-07,62,19,3.263157894736842
1993-05-10,4,79,0.05063291139240506
1993-05-11,50,33,1.5151515151515151
1993-05-12,63,20,3.15
1993-05-13,83,0,inf
1993-05-14,22,61,0.36065573770491804
1993-05-17,6,77,0.07792207792207792
1993-05-18,38,47,0.8085106382978723
1993-05-19,54,31,1.7419354838709677
1993-05-20,53,32,1.65625
1993-05-21,2,83,0.024096385542168676
1993-05-24,2,85,0.023529411764705882
1993-05-25,29,58,0.5
1993-05-26,14,73,0.1917808219178082
1993-05-27,1,86,0.011627906976744186
1993-05-28,76,12,6.333333333333333
1993-05-31,30,58,0.5172413793103449
1993-06-01,20,68,0.29411764705882354
1993-06-02,86,2,43.0
1993-06-03,35,54,0.6481481481481481
1993-06-04,14,75,0.18666666666666668
1993-06-07,62,28,2.2142857142857144
1993-06-08,39,51,0.7647058823529411
1993-06-09,17,73,0.2328767123287671
1993-06-10,19,73,0.2602739726027397
1993-06-11,27,65,0.4153846153846154
1993-06-14,3,91,0.03296703296703297
1993-06-15,51,43,1.186046511627907
1993-06-16,47,47,1.0
1993-06-17,31,63,0.49206349206349204
1993-06-18,60,33,1.8181818181818181
1993-06-21,4,91,0.04395604395604396
1993-06-22,53,42,1.2619047619047619
1993-06-23,75,20,3.75
1993-06-24,37,58,0.6379310344827587
1993-06-25,62,33,1.878787878787879
1993-06-28,36,59,0.6101694915254238
1993-06-29,87,9,9.666666666666666
1993-06-30,1,95,0.010526315789473684
1993-07-01,15,82,0.18292682926829268
1993-07-02,46,51,0.9019607843137255
1993-07-05,10,87,0.11494252873563218
1993-07-06,0,97,0.0
1993-07-07,42,55,0.7636363636363637
1993-07-08,31,64,0.484375
1993-07-09,1,96,0.010416666666666666
1993-07-12,10,91,0.10989010989010989
1993-07-13,67,31,2.161290322580645
1993-07-14,10,91,0.10989010989010989
1993-07-15,36,64,0.5625
1993-07-16,32,69,0.463768115942029
1993-07-19,7,94,0.07446808510638298
1993-07-20,22,75,0.29333333333333333
1993-07-21,49,52,0.9423076923076923
1993-07-22,70,26,2.6923076923076925
1993-07-23,60,41,1.4634146341463414
1993-07-26,5,96,0.052083333333333336
1993-07-27,82,15,5.466666666666667
1993-07-28,90,13,6.923076923076923
1993-07-29,89,9,9.88888888888889
1993-07-30,97,6,16.166666666666668
1993-08-02,11,92,0.11956521739130435
1993-08-03,5,94,0.05319148936170213
1993-08-04,99,4,24.75
1993-08-05,57,40,1.425
1993-08-06,56,49,1.1428571428571428
1993-08-09,107,1,107.0
1993-08-10,29,77,0.37662337662337664
1993-08-11,108,0,inf
1993-08-12,102,4,25.5
1993-08-13,94,14,6.714285714285714
1993-08-16,108,0,inf
1993-08-17,1,104,0.009615384615384616
1993-08-18,33,72,0.4583333333333333
1993-08-19,71,36,1.9722222222222223
1993-08-20,2,105,0.01904761904761905
1993-08-23,2,106,0.018867924528301886
1993-08-24,76,33,2.303030303030303
1993-08-25,70,39,1.794871794871795
1993-08-26,12,96,0.125
1993-08-27,7,103,0.06796116504854369
1993-08-30,96,14,6.857142857142857
1993-08-31,44,65,0.676923076923077
1993-09-01,10,100,0.1
1993-09-02,71,39,1.8205128205128205
1993-09-03,111,0,inf
1993-09-06,70,41,1.7073170731707317
1993-09-07,8,103,0.07766990291262135
1993-09-08,33,79,0.4177215189873418
1993-09-09,26,86,0.3023255813953488
1993-09-10,28,83,0.3373493975903614
1993-09-13,0,112,0.0
1993-09-14,56,56,1.0
1993-09-15,69,44,1.5681818181818181
1993-09-16,8,105,0.0761904761904762
1993-09-17,66,8,8.25
1993-09-20,60,55,1.0909090909090908
1993-09-21,74,41,1.8048780487804879
1993-09-22,45,70,0.6428571428571429
1993-09-23,59,56,1.0535714285714286
1993-09-24,12,105,0.11428571428571428
1993-09-27,85,31,2.7419354838709675
1993-09-28,112,5,22.4
1993-09-29,44,76,0.5789473684210527
1993-09-30,50,70,0.7142857142857143
1993-10-02,0,1,0.0
1993-10-03,0,1,0.0
1993-10-04,88,32,2.75
1993-10-05,14,106,0.1320754716981132
1993-10-06,27,93,0.2903225806451613
1993-10-07,58,62,0.9354838709677419
1993-10-08,13,111,0.11711711711711711
1993-10-11,14,110,0.12727272727272726
1993-10-12,53,71,0.7464788732394366
1993-10-13,9,115,0.0782608695652174
1993-10-14,18,106,0.16981132075471697
1993-10-15,92,32,2.875
1993-10-18,7,121,0.05785123966942149
1993-10-19,64,64,1.0
1993-10-20,64,64,1.0
1993-10-21,14,114,0.12280701754385964
1993-10-22,8,120,0.06666666666666667
1993-10-25,6,124,0.04838709677419355
1993-10-26,46,84,0.5476190476190477
1993-10-27,57,73,0.7808219178082192
1993-10-28,133,2,66.5
1993-10-29,16,119,0.13445378151260504
1993-11-01,47,89,0.5280898876404494
1993-11-02,58,78,0.7435897435897436
1993-11-03,13,123,0.10569105691056911
1993-11-04,15,121,0.12396694214876033
1993-11-05,113,23,4.913043478260869
1993-11-08,135,7,19.285714285714285
1993-11-09,51,91,0.5604395604395604
1993-11-10,63,79,0.7974683544303798
1993-11-11,134,8,16.75
1993-11-12,134,9,14.88888888888889
